word	valence	arousal	source
chair	0.5375	0.275	Warriner2013_CCBY_subset
hand	0.5625	0.35	Warriner2013_CCBY_subset
chest	0.5125	0.4	Warriner2013_CCBY_subset
jaw	0.4875	0.4	Warriner2013_CCBY_subset
muscle	0.5125	0.4	Warriner2013_CCBY_subset
skin	0.55	0.375	Warriner2013_CCBY_subset
calm	0.725	0.175	Warriner2013_CCBY_subset
calmness	0.7375	0.175	Warriner2013_CCBY_subset
peace	0.8	0.1875	Warriner2013_CCBY_subset
peaceful	0.8125	0.2	Warriner2013_CCBY_subset
ease	0.7375	0.25	Warriner2013_CCBY_subset
easeful	0.725	0.25	Warriner2013_CCBY_subset
gentle	0.7375	0.275	Warriner2013_CCBY_subset
gently	0.7375	0.275	Warriner2013_CCBY_subset
soft	0.6875	0.3	Warriner2013_CCBY_subset
softness	0.7	0.2875	Warriner2013_CCBY_subset
soften	0.675	0.3	Warriner2013_CCBY_subset
settle	0.6625	0.275	Warriner2013_CCBY_subset
settled	0.6875	0.2625	Warriner2013_CCBY_subset
rest	0.725	0.2375	Warriner2013_CCBY_subset
resting	0.7125	0.2375	Warriner2013_CCBY_subset
relief	0.7375	0.3875	Warriner2013_CCBY_subset
relax	0.75	0.225	Warriner2013_CCBY_subset
relaxed	0.7625	0.2125	Warriner2013_CCBY_subset
relaxation	0.7625	0.2125	Warriner2013_CCBY_subset
release	0.675	0.375	Warriner2013_CCBY_subset
released	0.6875	0.35	Warriner2013_CCBY_subset
open	0.675	0.3875	Warriner2013_CCBY_subset
openness	0.6875	0.375	Warriner2013_CCBY_subset
spacious	0.7125	0.3125	Warriner2013_CCBY_subset
safe	0.75	0.275	Warriner2013_CCBY_subset
safety	0.7375	0.2875	Warriner2013_CCBY_subset
trust	0.725	0.35	Warriner2013_CCBY_subset
warm	0.7375	0.35	Warriner2013_CCBY_subset
warmth	0.75	0.35	Warriner2013_CCBY_subset
kind	0.8	0.3625	Warriner2013_CCBY_subset
kindness	0.8125	0.3625	Warriner2013_CCBY_subset
compassion	0.775	0.3625	Warriner2013_CCBY_subset
tender	0.7375	0.3375	Warriner2013_CCBY_subset
tenderness	0.7375	0.325	Warriner2013_CCBY_subset
care	0.7625	0.375	Warriner2013_CCBY_subset
held	0.675	0.35	Warriner2013_CCBY_subset
grounded	0.6875	0.3	Warriner2013_CCBY_subset
steady	0.675	0.3	Warriner2013_CCBY_subset
stable	0.675	0.3	Warriner2013_CCBY_subset
strength	0.725	0.475	Warriner2013_CCBY_subset
strong	0.7125	0.4875	Warriner2013_CCBY_subset
capacity	0.65	0.4	Warriner2013_CCBY_subset
capable	0.725	0.45	Warriner2013_CCBY_subset
able	0.6875	0.425	Warriner2013_CCBY_subset
freedom	0.825	0.5	Warriner2013_CCBY_subset
free	0.8125	0.4875	Warriner2013_CCBY_subset
light	0.725	0.4	Warriner2013_CCBY_subset
lightness	0.7375	0.3875	Warriner2013_CCBY_subset
clarity	0.7375	0.4125	Warriner2013_CCBY_subset
clear	0.7	0.3875	Warriner2013_CCBY_subset
whole	0.725	0.375	Warriner2013_CCBY_subset
wholeness	0.7375	0.3625	Warriner2013_CCBY_subset
healing	0.7375	0.3875	Warriner2013_CCBY_subset
heal	0.725	0.4	Warriner2013_CCBY_subset
home	0.7875	0.3625	Warriner2013_CCBY_subset
belong	0.75	0.4	Warriner2013_CCBY_subset
belonging	0.7625	0.3875	Warriner2013_CCBY_subset
love	0.875	0.55	Warriner2013_CCBY_subset
loving	0.85	0.5	Warriner2013_CCBY_subset
joy	0.9	0.625	Warriner2013_CCBY_subset
grateful	0.85	0.45	Warriner2013_CCBY_subset
gratitude	0.85	0.4375	Warriner2013_CCBY_subset
hope	0.775	0.5	Warriner2013_CCBY_subset
hopeful	0.7625	0.5125	Warriner2013_CCBY_subset
courage	0.7625	0.525	Warriner2013_CCBY_subset
brave	0.7625	0.5375	Warriner2013_CCBY_subset
wisdom	0.775	0.3875	Warriner2013_CCBY_subset
wise	0.7625	0.375	Warriner2013_CCBY_subset
patient	0.7	0.3125	Warriner2013_CCBY_subset
patience	0.7125	0.3	Warriner2013_CCBY_subset
acceptance	0.6875	0.325	Warriner2013_CCBY_subset
accept	0.65	0.3375	Warriner2013_CCBY_subset
allow	0.65	0.325	Warriner2013_CCBY_subset
permission	0.6625	0.35	Warriner2013_CCBY_subset
enough	0.675	0.375	Warriner2013_CCBY_subset
worthy	0.75	0.425	Warriner2013_CCBY_subset
worth	0.725	0.425	Warriner2013_CCBY_subset
dignity	0.7375	0.3875	Warriner2013_CCBY_subset
connection	0.7625	0.4375	Warriner2013_CCBY_subset
connected	0.75	0.425	Warriner2013_CCBY_subset
alive	0.7875	0.5625	Warriner2013_CCBY_subset
nourish	0.7375	0.35	Warriner2013_CCBY_subset
nourishment	0.7375	0.3375	Warriner2013_CCBY_subset
comfort	0.7625	0.3125	Warriner2013_CCBY_subset
comforted	0.7625	0.3	Warriner2013_CCBY_subset
reassure	0.725	0.325	Warriner2013_CCBY_subset
reassurance	0.725	0.3125	Warriner2013_CCBY_subset
confused	0.2875	0.475	Warriner2013_CCBY_subset
confusion	0.275	0.4625	Warriner2013_CCBY_subset
uncertain	0.325	0.45	Warriner2013_CCBY_subset
uncertainty	0.3125	0.45	Warriner2013_CCBY_subset
fragile	0.3	0.45	Warriner2013_CCBY_subset
vulnerable	0.325	0.4875	Warriner2013_CCBY_subset
raw	0.35	0.5125	Warriner2013_CCBY_subset
broken	0.175	0.4875	Warriner2013_CCBY_subset
stuck	0.2375	0.45	Warriner2013_CCBY_subset
trapped	0.175	0.55	Warriner2013_CCBY_subset
alone	0.2625	0.4	Warriner2013_CCBY_subset
alarm_bell	0.225	0.675	Warriner2013_CCBY_subset
struggle	0.25	0.525	Warriner2013_CCBY_subset
struggling	0.2375	0.525	Warriner2013_CCBY_subset
difficult	0.275	0.4625	Warriner2013_CCBY_subset
hard	0.325	0.475	Warriner2013_CCBY_subset
pressure	0.2625	0.575	Warriner2013_CCBY_subset
burden	0.2125	0.475	Warriner2013_CCBY_subset
