brand_id	tier	named_cast_scope	image_bank_dir	required_slot_count	present_slot_count	gap_count	priority	slot_taxonomy	notes
night_reset_healing	core	style_only	artifacts/manga/image_bank/night_reset_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
optimizer_workplace	core	style_only	artifacts/manga/image_bank/optimizer_workplace	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
qi_foundation_cultivation	niche	teacher_lora	artifacts/manga/image_bank/qi_foundation_cultivation	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
relational_calm_iyashikei	core	teacher_lora	artifacts/manga/image_bank/relational_calm	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
relationship_clarity_romance	niche	style_only	artifacts/manga/image_bank/relationship_clarity_romance	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
resilient_parent_social	niche	style_only	artifacts/manga/image_bank/resilient_parent_social	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
sleep_restoration_iyashikei	core	teacher_lora	artifacts/manga/image_bank/sleep_restoration	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
solar_return_isekai	niche	teacher_lora	artifacts/manga/image_bank/solar_return	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
somatic_wisdom_shojo	core	teacher_lora	artifacts/manga/image_bank/somatic_wisdom	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
spiritual_ground_supernatural	niche	style_only	artifacts/manga/image_bank/spiritual_ground_supernatural	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
stabilizer_healing	core	style_only	artifacts/manga/image_bank/stabilizer_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
stillness_press	flagship	teacher_lora	artifacts/manga/image_bank/stillness_press	60	72	0	P0_wave1	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers); partial bank (Wave 1 US1/JP1)
stoic_edge_battle	niche	style_only	artifacts/manga/image_bank/stoic_edge_battle	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
trauma_path_healing	niche	style_only	artifacts/manga/image_bank/trauma_path_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
warrior_calm_cultivation	niche	teacher_lora	artifacts/manga/image_bank/warrior_calm	60	61	0	P4_backlog	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
