action_000	Release.
permission_203	There is no rush.
permission_210	That is allowed.
permission_211	Nothing needs to happen right now.
permission_215	Cry if you need to.
permission_223	You have done enough.
position_001	Close your eyes.
position_005	Sit down.
position_012	Stand up.
position_026	Open your eyes.
position_034	Lie down.
position_036	Believe this.
position_041	Stand.
position_042	Stand tall.
position_046	Sit.
position_108	You're still standing.
position_127	Sit at your desk.
position_128	Sit upright.
position_157	Stand with your feet hip-width apart.
validation_010	You're brave.
validation_015	You're here.
validation_018	You're strong.
validation_023	You're capable.
validation_029	You matter.
validation_031	You're brave enough.
validation_035	You're safe.
validation_045	You are here.
validation_050	You are alive.
validation_064	You're alive.
validation_069	Strong.
validation_098	You are supported.
validation_100	You are ready.
validation_114	You are safe.
validation_117	That's enough.
validation_134	You're not alone in this.
validation_135	You're not alone.
validation_143	You've been brave.
validation_149	You're strong enough.
validation_150	You're capable enough.
validation_162	You are held.
validation_164	You are still here.
validation_178	You are real.
validation_198	You are capable.
validation_202	You are safe here.
validation_212	The pain is real.
validation_213	That took courage.
validation_214	It is not failure.
validation_220	You are solid.
validation_221	This will pass.
