row_type	key	date	author	subject_or_title	files_changed	additions	deletions	branch_or_state	merge_or_keyword_flags	head_branch	base_branch
commit	908c480ad3a7316585b3254f028d5c564097b708	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 12:19:50	1	1	0				
commit	04d1f557ac00cf0b941c1081cb479c72ba11b391	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 11:19:27	3	3	1				
commit	7d93ae6c3d0db20178fa07ea3052826efabb591f	2026-04-26	Ahjan108	spec(manga): catalog reconciliation — 12-shell × 37-brand strategic alignment (#682)	1	643	0		manga,catalog,brand,reconciliation		
commit	f841ba878fefe1901a98a0ace0a0ea4472147a46	2026-04-26	Nihala (Ma'at)	spec(manga): catalog reconciliation — 12-shell × 37-brand strategic alignment	1	643	0	(agent/manga-catalog-reconciliation-spec-20260426)	manga,catalog,brand,reconciliation		
commit	b552fd6214b7772821560198dadbef8efc89ec44	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 10:19:12	5	5	0				
commit	684acbc15ba2d9d8024acd61f09b556b50a8f31a	2026-04-26	Ahjan108	docs(manga): Phase 1 pipeline audit deliverable (2026-04-26) (#680)	1	836	0	(agent/manga-prune-phase-2a-20260426)	manga,audit		
commit	723db25d965343c9ea8c41b03956ce5a47399ff7	2026-04-26	Nihala (Ma'at)	docs(manga): Phase 1 pipeline audit deliverable (2026-04-26)	1	836	0	(agent/pearl-architect-manga-audit-20260426)	manga,audit		
commit	ad94d7e8a5c47b45488e10fcb12a5926ca83313c	2026-04-26	Nihala (Ma'at)	docs: AGENTS.md — cross-vendor coding-assistant brief	2	91	0				
commit	08c60a00574d6c9df5268966e86de96caf6e684f	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 09:18:55	3	9	1	(origin/agent/handoff-doc-2026-04-25, agent/handoff-doc-2026-04-25)			
commit	8730bf1f74c0194430b508070add2646a8a69c34	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 08:17:52	1	1	0				
commit	0510755600813452c2b24b10951ca742e65f6e5d	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 07:17:36	75	279	96				
commit	9a62722c41b137496209ba24bf068528d5c39048	2026-04-26	Nihala (Ma'at)	fix(manga): lettering_from_script v3-schema awareness — bubble panels with dialogue_lines/text_by_locale	1	93	21	(origin/agent/lettering-v3-schema-fix-20260426, agent/lettering-v3-schema-fix-20260426)	manga		
commit	f8c02c280535e01301fdcbb363adb308473edb49	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 06:17:14	108	541	1				
commit	f97a1a5220267a11b4143fbb437c392635c9ef92	2026-04-26	Nihala (Ma'at)	feat(manga): inline render driver for ep_001 panels via local/Pearl-Star ComfyUI	1	111	0		manga		
commit	0795235689f1a20daa569fbbfcdd1f9fe192c09a	2026-04-26	Ahjan108	feat(story-atoms): working_parents × anxiety × overwhelm — 16 atoms (Move 5 Phase 2) (#677)	17	128	0				
commit	224cf0cc1d4efb56cc9aeaa31bc77cfbfd5fdb60	2026-04-26	Ahjan108	feat(qa): Move 4 representative sweep — 27/30 bestseller-grade across 13 personas (#676)	4	8430	1				
commit	7359d5dd4d2fdb60de98106fee7bf15f0df4f823	2026-04-26	Ahjan108	chore(coordination): proj_pearl_prime_bestseller_rebase final state — Move 3 done + Move 5 Phase 1 evidence (#673)	1	1	1		pearl_prime		
commit	3d2448773429363965258cd4a5261c7c4401bf86	2026-04-26	Ahjan108	chore(coordination): open ws_midlife_women_arc_authoring_20260427 (Item 4 / midlife_women decision) (#675)	1	1	0				
commit	69fb6dac3aaf443c7182ec73d2871baccd23cad3	2026-04-26	Ahjan108	docs(audit): port STORY_BANK_AUDIT_2026-04-25.md from orphaned commit fbcd1a081 (#674)	1	89	0		audit		
commit	5b27634fa4024391a5f078c19e3cec22944bc144	2026-04-26	Nihala (Ma'at)	feat(story-atoms): working_parents × anxiety × overwhelm — 16 atoms (Move 5 Phase 2)	17	128	0	(origin/agent/move5-phase2-working-parents-20260426, agent/move5-phase2-working-parents-20260426)			
commit	eb8198376721bfce2286fd83a35f37b7319fc34f	2026-04-26	Nihala (Ma'at)	feat(manga): inline render driver for ep_001 panels via local/Pearl-Star ComfyUI	1	111	0	(origin/agent/post-pr478-manga-activation, agent/post-pr478-manga-activation)	manga		
commit	8aa0c88590a8b22fbdd9e86ea61c96d53dd88a45	2026-04-26	Nihala (Ma'at)	feat(qa): Move 4 representative sweep — 27/30 bestseller-grade across 13 personas	4	8430	1	(origin/agent/move4-sweep-20260426, agent/move4-sweep-20260426)			
commit	b6c5be6eb5c4f72d1d01c036664e8b6a02cc454f	2026-04-26	Nihala (Ma'at)	chore(coordination): open ws_midlife_women_arc_authoring_20260427 (Item 4 / midlife_women decision)	1	1	0	(origin/agent/midlife-women-arc-decision-20260426, agent/midlife-women-arc-decision-20260426)			
commit	f1b8d86b427a61c8b9b01753f95ffe162ece3e36	2026-04-26	Nihala (Ma'at)	docs(audit): port STORY_BANK_AUDIT_2026-04-25.md from orphaned commit fbcd1a081	1	89	0	(origin/agent/item7-handoff-mirror-20260426, agent/item7-handoff-mirror-20260426)	audit		
commit	eafc377e48fbbdb5b8c83a023331c33525a9c2f8	2026-04-26	Nihala (Ma'at)	chore(coordination): proj_pearl_prime_bestseller_rebase final state — Move 3 done + Move 5 Phase 1 evidence	1	1	1	(origin/agent/pm-final-close-20260426, agent/pm-final-close-20260426)	pearl_prime		
commit	62f64a9323efd3fdc6421508f80538fd5af754f0	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 05:16:56	2	2	1				
commit	ea95ccca2d8cc0cc15e68fd516712251aa252c32	2026-04-26	Ahjan108	feat(story-atoms): millennial_women_professionals × anxiety × overwhelm — 16 atoms (Move 5 Phase 1) (#672)	19	146	1				
commit	88f224187c10dae53da1890125b5e92e5869d761	2026-04-26	Nihala (Ma'at)	feat(story-atoms): millennial_women_professionals × anxiety × overwhelm — 16 atoms (Move 5 Phase 1)	19	146	1	(origin/agent/move5-pilot-millennial-anxiety-overwhelm-20260426, agent/move5-pilot-millennial-anxiety-overwhelm-20260426)			
commit	ba0241f8719e13460a398350d208b3e26f7eddeb	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 04:16:03	17	548	1				
commit	e3399e358a4f837d614b8674845a4f1ce029bc65	2026-04-26	Ahjan108	fix(registry-resolver): engine-bank-first selection in _load_persona_atoms (#670)	1	44	25				
commit	03d3c7985ecb6b9ce01da986d2e2c134667db19e	2026-04-26	Nihala (Ma'at)	fix(registry-resolver): engine-bank-first selection in _load_persona_atoms	1	44	25	(origin/agent/engine-bank-first-selection-20260426, agent/engine-bank-first-selection-20260426)			
commit	cbfbe14c395fd8ac29771565c6b93c58d6e9b69a	2026-04-26	Ahjan108	feat(grid): wire STORY slot at sec 2/5/9 + preserve story_schedule routing (#669)	2	8	5				
commit	fe245ddd742769718ba14dffd07dde1b01248498	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 03:15:52	2	2	1				
commit	8b9e9a1ce90a2aab141e083e232327a69d9dea76	2026-04-26	Nihala (Ma'at)	feat(grid): wire STORY slot at sec 2/5/9 + preserve story_schedule routing	2	8	5	(origin/agent/grid-story-at-sec-2-5-9-20260426, agent/grid-story-at-sec-2-5-9-20260426)			
commit	b63dc8f03013e7354264e58257ec8d3defd088ce	2026-04-26	Ahjan108	chore(coordination): close ws_bestseller_pipeline_default_path_a + Move 3 fully complete (#668)	2	2	2				
commit	2d567cc4b2d4110ecdc8c6e3a63e38d15b22934d	2026-04-26	Nihala (Ma'at)	chore(coordination): close ws_bestseller_pipeline_default_path_a + Move 3 fully complete	2	2	2	(origin/agent/pm-bestseller-path-a-close-20260426, agent/pm-bestseller-path-a-close-20260426)			
commit	d1d22dd3710a48742093a587208ac0c59b9cdb13	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 02:15:40	2	2	1				
commit	326eaaff43b435042658d629b5d24d6c86a14ca1	2026-04-26	Ahjan108	feat(catalog-wrapper): pass --exercise-journeys (Phase 1 bestseller-grade) (#667)	1	1	0		catalog		
commit	7261e7de1867c47b530927bd105e743f9028b437	2026-04-26	Ahjan108	docs(architect): BG-PR-09 coda — Option (c) PARTIALLY downgraded (Phase 1/2) (#666)	1	19	0				
commit	25c84c6465ddf9a06e1afedd46cf54a1df4c5933	2026-04-26	Nihala (Ma'at)	feat(catalog-wrapper): pass --exercise-journeys (Phase 1 bestseller-grade)	1	1	0	(origin/agent/wrapper-exercise-journeys-flag-20260426, agent/wrapper-exercise-journeys-flag-20260426)	catalog		
commit	a1fb8eae9d9bf7fb6d0bc87e97b3eb513c7feac4	2026-04-26	Nihala (Ma'at)	docs(architect): BG-PR-09 coda — Option (c) PARTIALLY downgraded (Phase 1/2)	1	19	0	(origin/agent/pearl-architect-bg-pr-09-coda-20260426, agent/pearl-architect-bg-pr-09-coda-20260426)			
commit	65869b8ebb3de87c438a2d5e90323f096ce793ed	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 01:15:30	7	135	1				
commit	1c516771ec72a5f42c46b2b799b471ce7aead33e	2026-04-26	Ahjan108	docs(architect): BG-PR-09 — retire Move 3 Path A; ratify Option (c) hybrid (#665)	1	33	1				
commit	8af888973575f06a3fc25cae0ad75c4721fd082b	2026-04-26	Nihala (Ma'at)	docs(architect): BG-PR-09 — retire Move 3 Path A; ratify Option (c) hybrid	1	33	1	(origin/agent/pearl-architect-bestseller-path-a-retire-20260425, agent/pearl-architect-bestseller-path-a-retire-20260425)			
commit	7d39b6ca272ec3857f8c8e612c79ee5a691d0d59	2026-04-25	Nihala (Ma'at)	chore(backup): auto backup 2026-04-25 18:25:42	3	5	2				
commit	52f5e69874055dff3e1acc46cdf85282d66c348b	2026-04-25	Ahjan108	chore(integrations): track R2 account ID + bucket in env registry (Pearl_Int Phase 0) (#663)	1	2	0				
commit	d21f1440475dd3d72700e3715fb4233eec41b5aa	2026-04-25	Nihala (Ma'at)	chore(integrations): track R2 account ID + bucket in env registry (Pearl_Int Phase 0)	1	2	0	(origin/agent/pearl-int-r2-env-phase0-20260425, agent/pearl-int-r2-env-phase0-20260425)			
commit	640658464a0b7cced2f10104ecce4937045c2013	2026-04-25	Ahjan108	chore(coordination): close ws_pilot_pipeline_default no-op + retire schema-conformance open question (#661)	2	4	4				
commit	83c98ba713559c8ff85becb8f14943d90b398907	2026-04-25	Nihala (Ma'at)	chore(coordination): close ws_pilot_pipeline_default no-op + retire schema-conformance open question	2	4	4	(origin/agent/pm-close-ws-pilot-pipeline-default-20260425, agent/pm-close-ws-pilot-pipeline-default-20260425)			
commit	13672fbe55ccfb4e3af0f4ded67124276c88a208	2026-04-25	Nihala (Ma'at)	chore(backup): auto backup 2026-04-25 15:58:02	3	3	2				
commit	cd5c930f6169f733c6107cad8c32124881aebcd5	2026-04-25	Ahjan108	chore(coordination): open proj_manga_first_ship_20260425 + ep_001 ship ws absorption (#660)	2	2	1		manga		
commit	f6dc891e90457fcaa7877305f9e51a5697009b43	2026-04-25	Nihala (Ma'at)	chore(coordination): open proj_manga_first_ship_20260425 + extend ws_post_pr478 for ep_001 ship absorption	2	2	1	(origin/agent/pm-manga-first-ship-scope-20260425, agent/pm-manga-first-ship-scope-20260425)	manga		
commit	93985e87f5987fb709db31d57148056cbe8d32bb	2026-04-25	Ahjan108	chore(coordination): open proj_pearl_prime_bestseller_rebase + 2 ws rows for Moves 2/3 (#659)	2	3	0		pearl_prime		
commit	3c122cf32104077daac05269aa89bd74d111137d	2026-04-25	Nihala (Ma'at)	chore(backup): auto backup 2026-04-25 14:57:49	5	161	3				
commit	90dc184462acc08ab6135ef37ebda3e8403ae508	2026-04-25	Ahjan108	docs(session): handoff for 2026-04-25 — full inventory of 26 PRs + operator runbook (#658)	1	607	0				
commit	a1c8cd993d3c41b52b05f8b30c3a8ebd0494b506	2026-04-25	Nihala (Ma'at)	chore(coordination): open proj_pearl_prime_bestseller_rebase + 2 ws rows for Moves 2/3	2	3	0	(origin/agent/pm-pearl-prime-rebase-scope-20260425, agent/pm-pearl-prime-rebase-scope-20260425)	pearl_prime		
commit	c74bb3db997d6c0bdebab02377d82b3818e825e2	2026-04-25	Ahjan108	feat(story-atoms): restore stranded character-story bank from agent/story-planner-location-fix (#645)	47	1397	0				
commit	3144da51a1c3bdcbd8b431d882bbcb851e154bc3	2026-04-25	Nihala (Ma'at)	docs(session): handoff for 2026-04-25 — full inventory of 26 PRs + operator runbook	1	607	0				
commit	a145bd5fe1b4f1bbbad240ca0d31ff3c2b43074f	2026-04-25	Ahjan108	"content(manga): ep_002 — Alarm Is Lying — ""The Same Tuesday, 9:48 AM"" (32 panels) (#657)"	1	445	0		manga		
commit	1aaa0e303f2aa9ec07ded34f0db05cbae8513160	2026-04-25	Ahjan108	content(manga): ep_001 — populate text_by_locale for ja_JP/zh_TW/zh_CN (mock backend) (#656)	1	457	402		manga		
commit	a0faec006a81a5e6e72533359e96bf76968f917c	2026-04-25	Ahjan108	feat(manga): visual_from_script_v3 — FLUX panel_prompts for v3 chapter scripts (ep_001 ready) (#655)	12	988	43		manga		
commit	8bce9502fdefd7d2de814f52286e6059aa8a4108	2026-04-25	Nihala (Ma'at)	"content(manga): ep_002 — Alarm Is Lying — ""The Same Tuesday, 9:48 AM"" (32 panels)"	1	445	0	(origin/agent/manga-ep002-script-20260425, agent/manga-ep002-script-20260425)	manga		
commit	0c875ec34a19fd604c547161a88cc8229158eb42	2026-04-25	Ahjan108	feat(manga): CJK text shaper module — HarfBuzz path with Pillow fallback (Phase 2A) (#654)	3	606	0		manga		
commit	f32534c8cd82e40517d4c78d3ff65751f8c33f87	2026-04-25	Ahjan108	feat(manga): generate zh_TW book_plans (24 series × ~14 chapters = 330 plans) (#653)	330	7192	0		manga		
commit	d3b3ed07f1ec15468809573d3243e314839fe618	2026-04-25	Ahjan108	feat(manga): translation pipeline — text_by_locale auto-fill (Tier 2 Qwen default) (#652)	5	915	0		manga		
commit	14c640288cbc3487a5104bc42bfd4b74e27f750f	2026-04-25	Ahjan108	feat(manga): first chapter script — Alarm Is Lying ep_001 (35 panels, iyashikei) (#651)	1	436	0		manga		
commit	e46bf46e5ece566623656298efc9a5226c9734e1	2026-04-25	Nihala (Ma'at)	feat(manga): CJK text shaper module — HarfBuzz path with Pillow fallback (Phase 2A)	3	606	0	(origin/agent/manga-cjk-text-shaper-20260425, agent/manga-cjk-text-shaper-20260425)	manga		
commit	47b5355daf44fe5ceb0475e72e47ee1f26ee4e6c	2026-04-25	Nihala (Ma'at)	feat(story-atoms): restore stranded character-story bank from agent/story-planner-location-fix	47	1397	0	(origin/agent/restore-story-bank-content-20260425, agent/restore-story-bank-rebased-20260425)			
commit	7df86f687a57b9566421b57222de2328bfa7e7d1	2026-04-25	Ahjan108	feat(manga): webtoon_compose — vertical-strip composer with beat-type gutters (#650)	2	618	0		manga		
commit	0418c8f1ac0c07e7ae0c7313137b6477f3fd0947	2026-04-25	Nihala (Ma'at)	feat(manga): webtoon_compose — vertical-strip composer with beat-type gutters	2	618	0	(origin/agent/manga-webtoon-compose-20260425, agent/manga-webtoon-compose-20260425)	manga		
commit	fbcd1a081c1395ae371ffc0378c85993a68fa592	2026-04-25	Nihala (Ma'at)	feat(grid): wire STORY slot at section_02 + audit doc — unlocks 859-atom bank	2	95	1	(agent/restore-story-bank-content-20260425)	audit		
commit	98599f025d860e78a3eeb83d5fdfbf0adcb5e8f3	2026-04-25	Ahjan108	feat(manga): generate zh_CN book_plans (24 series × ~14 chapters = 330 plans) (#649)	330	6270	0		manga		
commit	fd93f062dd3e4138efd0eefe59026cfd7a41a87c	2026-04-25	Ahjan108	feat(manga): bubble_render integrates locale_resolver — text_by_locale at compose-time (#648)	2	304	10		manga		
commit	d6a7185b18b8d1d5a1b35e10fa3d53a5e2267a42	2026-04-25	Nihala (Ma'at)	feat(manga): generate zh_CN book_plans (24 series × ~14 chapters = 330 plans)	330	6270	0	(origin/agent/manga-book-plans-zhtw-zhcn-20260425, agent/manga-book-plans-zhtw-zhcn-20260425)	manga		
commit	2aa0a92cd3774396a4d10bf67a3b172e1ee19b6e	2026-04-25	Ahjan108	feat(manga): FONT_REGISTRY v2 — CJK rebuild (Source Han Sans + Klee One + LXGW WenKai) (#647)	5	720	2		manga		
commit	532046f37687d80f32702f8cdeb8663180f57fa5	2026-04-25	Ahjan108	feat(manga): book_plan generator + 56 samples (4 series × ~14 chapters) (#646)	58	1587	0		manga		
commit	a7965d49d1f3d21cc53ce7974cc75cdad4abd66b	2026-04-25	Nihala (Ma'at)	feat(manga): book_plan generator + 56 samples (4 series × ~14 chapters)	58	1587	0	(origin/agent/manga-book-plan-generator-20260425, agent/manga-book-plan-generator-20260425)	manga		
commit	28540b95ec29f7a4fdcd1702583502f85d9a6cf9	2026-04-25	Nihala (Ma'at)	feat(story-atoms): restore stranded character-story bank from agent/story-planner-location-fix	47	1397	0				
commit	7e47abf4e0c781ccfaa2eb58ec4af11f97d25176	2026-04-25	Ahjan108	research(webtoon): production bible — technical + Japan + compositing + therapeutic craft (#631)	5	2907	0				
commit	58c458c0a75b7fa92cb35fe5d2943b22ee782be6	2026-04-25	Nihala (Ma'at)	chore(backup): auto backup 2026-04-25 12:15:24	74	2	1	(main, claude/tender-khorana-78b311, claude/romantic-galileo-5fb37a, claude/recursing-hofstadter-8208da, claude/pensive-gould-046009, claude/naughty-mendel-77a8fa, claude/epic-black-fcd739, claude/brave-cori-be1817)			
commit	e72c12840f62f9f5f8a7646fceba36188f7c98df	2026-04-25	Ahjan108	feat(manga): lettering_spec v3 — text_by_locale per dialogue line (#644)	4	702	7		manga		
commit	85d423942a565a1ad70151c32a585ddaa5f68500	2026-04-25	Ahjan108	feat(manga): generate 132 series_plan YAMLs from MANGA_FULL_CATALOG_PLAN (#643)	133	3987	3		manga,catalog		
commit	2ec7449847d5a61f392c637d00b74f354fbe83fe	2026-04-25	Ahjan108	feat(manga): catalog rebuild infra — schema v2 + generator + 4 sample plans (#642)	9	951	8		manga,catalog		
commit	4de0152ec3c1e7b6a9c6e6e7c9bd65666c8168a1	2026-04-25	Ahjan108	scripts(pearl_prime_multilingual): qualitative review pack builder (#640)	1	217	0		pearl_prime		
commit	e97462d5e4afe9852709864c90866dc5e769261c	2026-04-25	Ahjan108	chore(integrations): track R2_ACCESS_KEY_ID + R2_SECRET_ACCESS_KEY in env registry (#641)	1	2	0				
commit	ac9b1395d6f4bd30a5e822a0740bcfe3251c3d11	2026-04-25	Nihala (Ma'at)	chore(integrations): track R2_ACCESS_KEY_ID + R2_SECRET_ACCESS_KEY in env registry	1	2	0	(origin/agent/pearl-int-r2-registry-track-20260425, agent/pearl-int-r2-registry-track-20260425)			
commit	3000d544dea0ce1201d0e87d4af1532d23481a6b	2026-04-25	Nihala (Ma'at)	scripts(pearl_prime_multilingual): qualitative review pack builder	1	217	0	(origin/agent/review-pack-builder-20260425, agent/review-pack-builder-20260425)	pearl_prime		
commit	995b5ed770124deece857b09a3c32e974d23d2fa	2026-04-25	Ahjan108	scripts(pearl_prime_multilingual): add locale-parameterized full-catalog QA wrapper (#638)	1	377	0		catalog,pearl_prime		
commit	4fa2545dfae79c837d0355b30a58c396941ca1c2	2026-04-25	Ahjan108	config(master_arcs): migrate 35 F003 arcs from old schema to new schema (#636)	35	1540	315				
commit	370404d59fd27e4fc353e35b5c05573344306ae9	2026-04-25	Nihala (Ma'at)	chore(backup): auto backup 2026-04-25 10:15:06	5	5	0				
commit	6aae229be1024d1bd44a2e1fbcc1443a61dbae3c	2026-04-25	Ahjan108	feat(infra): cloud-native agents Layer 3 — Pearl Star push + render integration (#637)	4	785	0				
commit	43c9e6cdecce8829167e5e46ad3902baf552e71b	2026-04-25	Nihala (Ma'at)	scripts(pearl_prime_multilingual): add locale-parameterized full-catalog QA wrapper	1	377	0	(origin/agent/multilingual-catalog-qa-20260425, agent/multilingual-catalog-qa-20260425)	catalog,pearl_prime		
commit	eee2b3bdf538bd0ec7cc06e4e49a757d4c630cf4	2026-04-25	Ahjan108	feat(infra): cloud-native agents Layer 2 — Cloudflare R2 for binary artifacts (#635)	7	1083	0				
commit	545fb3f581364876c7cbce4eec1afcfb42fc4e38	2026-04-25	Nihala (Ma'at)	config(master_arcs): migrate 35 F003 arcs from old schema to new schema	35	1540	315	(origin/agent/f003-schema-migration-20260425, agent/f003-schema-migration-20260425)			
commit	11ccf42419ac875567dace6618efa9dcd839dc4d	2026-04-25	Ahjan108	atoms(gen_z_professionals): add HOOK v55 — somatic-unfurled burnout reframe (#634)	1	7	0				
commit	6612c7605d2631cae3b9a390e2471713e45016f3	2026-04-25	Ahjan108	feat(infra): cloud-native agents Layer 1 — Codespaces + remote-mode guard + stale-branch cleanup (#633)	5	503	0				
commit	76612c809fe03f6488ed9a8016a98d92d23a82f5	2026-04-25	Ahjan108	feat(content-banks): P1+P2 HOOK-slot scene recognition banks (200 variants, 5 banks) (#579)	7	1523	1	(claude/wizardly-poincare-a49f6c)			
commit	28f6042e1646f866eb4a9864e013d7b9f61643e0	2026-04-25	Ahjan108	feat(manga): Phase 0 schema — format / panel_layout_template / target_platforms (#632)	8	680	0		manga		
commit	e38a11c812d699c63242ba498afcdced0b68657e	2026-04-25	Nihala (Ma'at)	research(webtoon): production bible — technical + Japan + compositing + therapeutic craft	5	2907	0	(origin/agent/webtoon-technical-deep-dive-20260425, agent/webtoon-technical-deep-dive-20260425)			
commit	cfe8b62e2822e936362483ce11b2a1ec38aede5f	2026-04-25	Ahjan108	feat(publish): KDP Comics + WEBTOON Canvas package builders (#630)	3	682	0				
commit	3524c9492a44ef28e0b6254d5841d9336aa5f2bf	2026-04-23	Nihala (Ma'at)	fix(atoms+resolver): {selected_mechanism} placeholders + reflection_band_window wiring	2	45	1	(agent/recognition-banks-p1-p2-rebased)			
commit	63539c0475dd2b6939b29250a78ff9b897985366	2026-04-23	Nihala (Ma'at)	feat(content-banks): author P1+P2 HOOK-slot scene recognition banks	5	1478	0				
commit	c3503588267f0ce9efcc94a1dc75d2aeba8b0786	2026-04-25	Nihala (Ma'at)	feat(publish): KDP Comics + WEBTOON Canvas upload package builders	14	2569	957	(origin/agent/manga-upload-package-builders-20260425, agent/manga-upload-package-builders-20260425)			
commit	df32dac3c80a3a8c86ec0f7a1d7b5b461d893498	2026-04-25	Ahjan108	ci: blocked-platforms guard runs on every PR (#629)	1	50	0				
commit	405635f2c54748dd364ed5d291822503f7043fb6	2026-04-25	Ahjan108	scripts(pearl_prime): restore First-100 QA assembly wrapper for en_US spine pipeline (#627)	1	367	0		pearl_prime		
commit	2945a0c577b800957921f95f08fa5e130682d58a	2026-04-25	Nihala (Ma'at)	ci: blocked-platforms guard runs on every PR	1	50	0	(origin/agent/blocked-platforms-ci-workflow-20260425, agent/blocked-platforms-ci-workflow-20260425)			
commit	5a600a525aadbf2c40f46f43ac84209bfce63de7	2026-04-25	Ahjan108	feat(publishing): AI-policy blocker guardrail (#628)	3	486	0				
commit	824bc3ce558953ca132167573d20f6b745a7fa02	2026-04-25	Nihala (Ma'at)	feat(publishing): AI-policy blocker guardrail — config + CI check + audit report	3	486	0	(origin/agent/ai-policy-blocker-audit-20260425, agent/ai-policy-blocker-audit-20260425)	audit		
commit	dc9d6c8c5aa37b399f3a5f5646e0c819145b834e	2026-04-25	Nihala (Ma'at)	scripts(pearl_prime): restore First-100 QA assembly wrapper for en_US spine pipeline	1	367	0	(origin/agent/restore-first-100-qa-wrapper-20260425, agent/restore-first-100-qa-wrapper-20260425)	pearl_prime		
commit	9105b9aa34a04b3599833d3b9b84af3bf94bce14	2026-04-25	Ahjan108	research(manga): B&W vs color webtoon weight + revenue analysis (#626)	2	924	0		manga		
commit	fa8f2c290901ce1765a255c98b53032d56ac1005	2026-04-25	Ahjan108	config(teachers): expand allowed_engines to canonical 7 — align with TEACHER_UNIVERSAL spec (#625)	1	60	10		teacher		
commit	4b32838815f7e1e90db408590f97e82da8dabc30	2026-04-25	Nihala (Ma'at)	research(manga): B&W manga vs color webtoon weight + revenue analysis	2	924	0	(origin/agent/manga-vs-webtoon-research-20260425, agent/manga-vs-webtoon-research-20260425)	manga		
commit	e90ddde6a595e352dc1277f8c5b49b0e332af63f	2026-04-25	Ahjan108	chore(catalog): purge 3 manga-conflict files (#624)	3	0	947		manga,catalog		
commit	d2d530bd3114afce7ec43aa4390ec80835cc35cd	2026-04-25	Nihala (Ma'at)	config(teachers): expand allowed_engines to canonical 7 — align with TEACHER_UNIVERSAL spec	1	60	10	(origin/agent/expand-teacher-engines-20260425, agent/expand-teacher-engines-20260425)	teacher		
commit	997c01a564e7a9d322c61d0061a0e7f59f0ceb02	2026-04-25	Nihala (Ma'at)	chore(catalog): purge 3 manga-conflict files — keep MANGA_FULL_CATALOG_PLAN.md as sole source	3	0	947	(origin/agent/manga-conflict-purge-20260425, agent/manga-conflict-purge-20260425)	manga,catalog		
