row_type	name	subsystem	status	last_touched	notes	pipeline_entry_point	pipeline_called_by	pipeline_calls_into	pipeline_config_paths	pipeline_schema_paths	pipeline_test_coverage	module_top_level_area	module_line_count	module_imports_count	module_imported_by_count	module_has_main	module_has_tests	module_last_author	req_text	req_topic_cluster	req_source	req_evidence_path
pipeline	CI: manga-lettering	ci_cd	scheduled	2026-04-15	Manga lettering pipeline	.github/workflows/manga-lettering.yml	(direct invocation only)				no_tests											
pipeline	CI: production-deploy	ci_cd	scheduled	2026-04-02	Production deployment checks	.github/workflows/production-deploy.yml	(direct invocation only)				no_tests											
pipeline	Dashboard	core_pipeline	orphaned	unknown	No canonical entry point found	scripts/dashboard/	(direct invocation only)				no_tests											
pipeline	EI v2	ei_v2	in_dev	2026-04-26	Library only (gates, classifiers, scoring)	phoenix_v4/quality/ei_v2/__init__.py	(direct invocation only)	__future__;dataclasses;phoenix_v4;typing			no_tests											
pipeline	Feeds	trend_feeds	scheduled	2026-04-01	Budget tracking for feeds	scripts/feeds/budget_guard.py	(direct invocation only)	__future__;datetime;json;pathlib;sys			no_tests											
pipeline	Manga visual	manga_pipeline	scheduled	2026-04-22	End-to-end manga processing	scripts/run_manga_pipeline.py	(direct invocation only)	__future__;argparse;datetime;json;os			no_tests											
pipeline	Marketing	brand_admin	live	2026-04-26	Merged with Brand Admin weekly	scripts/build_weekly_brand_package.py	(direct invocation only)	__future__;argparse;csv;datetime;json			no_tests											
pipeline	Pearl News daily	pearl_news	scheduled	2026-04-11	Article assembly pipeline	scripts/pearl_news/run_daily_news_cycle.py	(direct invocation only)	__future__;argparse;datetime;json;logging			no_tests											
pipeline	Pearl Prime books	pearl_prime	scheduled	2026-04-25	Recent: dimension_gates, safety_classifier updates	scripts/pearl_prime_multilingual/build_review_pack.py	(direct invocation only)	__future__;argparse;collections;datetime;json			no_tests											
pipeline	Podcasts	core_pipeline	scheduled	2026-04-10	Podcast feed generation	scripts/podcast/run_podcast_pipeline.py	(direct invocation only)	__future__;argparse;datetime;email;json			no_tests											
pipeline	Quality gates	core_pipeline	scheduled	2026-04-24	Production readiness checks	scripts/run_production_readiness_gates.py	(direct invocation only)	__future__;os;pathlib;subprocess;sys	registry/atoms;topic_skins.yaml		no_tests											
pipeline	TTS	core_pipeline	scheduled	2026-04-07	Text-to-speech synthesis	scripts/audio/generate_presenter_audio.py	(direct invocation only)	argparse;json;os;pathlib;re			no_tests											
pipeline	Teacher Pages	teacher_mode	scheduled	2026-04-08	Topic registry generator	scripts/registry/generate_topic_registry.py	(direct invocation only)	__future__;argparse;hashlib;json;logging	topic_engine_bindings.yaml;topic_skins.yaml		no_tests											
pipeline	Translation	translation	scheduled	2026-04-01	Locale batch processing	scripts/localization/run_locale_batches.py	(direct invocation only)	__future__;argparse;concurrent;os;pathlib			no_tests											
pipeline	Video render	video_pipeline	scheduled	2026-04-12	Video generation and composition	scripts/video/run_flux_generate.py	(direct invocation only)	__future__;argparse;pathlib;scripts;sys	video/brand_style_tokens.yaml;video/prompt_constraints.yaml.		no_tests											
orphan_module	brand-wizard-app/generate_tts.py		orphaned	2026-04-06								brand-wizard-app	228	1	0	0	0	Ahjan108				
orphan_module	config/pipeline/knob_apply_contract.py		orphaned	2026-04-10								config	217	3	0	0	0	Nihala (Ma'at)				
orphan_module	dashboard.py		orphaned	unknown								dashboard.py	242	15	0	0	0	unknown				
module	del_files/validate_book_001_readiness.py		live	2026-02-24								del_files	282	5	0	1	0	Ahjan108				
orphan_module	del_location_plan/bookspec_locale_patch.py		orphaned	2026-02-24								del_location_plan	189	2	0	0	0	Ahjan108				
module	files-4/validate_book_001_readiness.py		live	2026-02-24								files-4	282	5	0	1	0	Ahjan108				
module	funnel/burnout_reset/app.py		live	2026-03-06								funnel	390	14	14	1	0	Ahjan108				
orphan_module	funnel/burnout_reset/db.py		orphaned	2026-03-06								funnel	158	9	0	0	0	Ahjan108				
orphan_module	funnel/burnout_reset/email_send.py		orphaned	2026-03-06								funnel	139	8	0	0	0	Ahjan108				
module	pearl_news copy/__init__.py		stub	2026-03-03								pearl_news copy	3	0	0	0	0	Ahjan108				
module	pearl_news copy/pipeline/__init__.py		stub	2026-03-03								pearl_news copy	2	0	0	0	0	Ahjan108				
orphan_module	pearl_news copy/pipeline/article_assembler.py		orphaned	2026-03-03								pearl_news copy	147	5	0	0	0	Ahjan108				
orphan_module	pearl_news copy/pipeline/feed_ingest.py		orphaned	2026-03-03								pearl_news copy	209	9	0	0	1	Ahjan108				
orphan_module	pearl_news copy/pipeline/qc_checklist.py		orphaned	2026-03-03								pearl_news copy	53	3	0	0	0	Ahjan108				
orphan_module	pearl_news copy/pipeline/quality_gates.py		orphaned	2026-03-03								pearl_news copy	82	5	0	0	0	Ahjan108				
module	pearl_news copy/pipeline/run_article_pipeline.py		live	2026-03-03								pearl_news copy	159	13	0	1	0	Ahjan108				
orphan_module	pearl_news copy/pipeline/template_selector.py		orphaned	2026-03-03								pearl_news copy	78	5	0	0	1	Ahjan108				
orphan_module	pearl_news copy/pipeline/topic_sdg_classifier.py		orphaned	2026-03-03								pearl_news copy	96	5	0	0	1	Ahjan108				
module	pearl_news copy/publish/__init__.py		stub	2026-03-03								pearl_news copy	6	1	0	0	0	Ahjan108				
orphan_module	pearl_news copy/publish/wordpress_client.py		orphaned	2026-03-03								pearl_news copy	220	6	0	0	0	Ahjan108				
module	pearl_news/__init__.py		stub	2026-03-03								pearl_news	3	0	0	0	0	Ahjan108				
module	pearl_news/pipeline/__init__.py		stub	2026-03-03								pearl_news	2	0	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/article_assembler.py		orphaned	2026-03-03								pearl_news	222	7	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/article_validator.py		orphaned	2026-03-06								pearl_news	337	5	0	0	0	Ahjan108				
module	pearl_news/pipeline/assemble_v52.py		live	2026-03-13								pearl_news	1610	12	3	1	0	Ahjan108				
module	pearl_news/pipeline/cjk_qwen_model.py		stub	2026-04-12								pearl_news	13	1	0	0	0	Nihala (Ma'at)				
orphan_module	pearl_news/pipeline/deterministic_teacher_topic.py		orphaned	2026-03-13								pearl_news	1467	6	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/ei_article_scorer.py		orphaned	2026-04-09								pearl_news	182	10	0	0	0	Nihala (Ma'at)				
orphan_module	pearl_news/pipeline/expansion_routing.py		orphaned	2026-04-09								pearl_news	172	11	0	0	0	Nihala (Ma'at)				
orphan_module	pearl_news/pipeline/feed_ingest.py		orphaned	2026-03-03								pearl_news	209	9	0	0	1	Ahjan108				
orphan_module	pearl_news/pipeline/image_selector.py		orphaned	2026-03-06								pearl_news	137	5	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/llm_expand.py		orphaned	2026-03-06								pearl_news	515	13	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/llm_expand_claude.py		orphaned	2026-03-13								pearl_news	98	7	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/merge_deterministic_and_news_slots.py		orphaned	2026-03-13								pearl_news	345	2	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/news_action_resolver.py		orphaned	2026-03-13								pearl_news	415	5	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/news_cycle_slot_contract.py		orphaned	2026-03-13								pearl_news	454	7	0	0	0	Ahjan108				
module	pearl_news/pipeline/qc_checklist.py		stub	2026-03-03								pearl_news	30	4	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/quality_gates.py		orphaned	2026-03-03								pearl_news	106	6	0	0	0	Ahjan108				
module	pearl_news/pipeline/run_article_pipeline.py		live	2026-03-03								pearl_news	617	21	0	1	0	Ahjan108				
orphan_module	pearl_news/pipeline/slot_expansion_constants.py		orphaned	2026-04-12								pearl_news	177	1	0	0	0	Nihala (Ma'at)				
orphan_module	pearl_news/pipeline/slot_expansion_engine.py		orphaned	2026-04-12								pearl_news	911	14	0	0	1	Nihala (Ma'at)				
orphan_module	pearl_news/pipeline/slot_provider_base.py		orphaned	2026-03-13								pearl_news	216	8	0	0	0	Ahjan108				
module	pearl_news/pipeline/slot_provider_qwen.py		live	2026-03-13								pearl_news	504	15	0	1	0	Ahjan108				
orphan_module	pearl_news/pipeline/teacher_resolver.py		orphaned	2026-03-06								pearl_news	187	6	0	0	0	Ahjan108				
orphan_module	pearl_news/pipeline/template_selector.py		orphaned	2026-03-03								pearl_news	115	6	0	0	1	Ahjan108				
orphan_module	pearl_news/pipeline/topic_sdg_classifier.py		orphaned	2026-03-03								pearl_news	90	5	0	0	1	Ahjan108				
module	pearl_news/publish/__init__.py		stub	2026-03-03								pearl_news	6	1	0	0	0	Ahjan108				
orphan_module	pearl_news/publish/wordpress_client.py		orphaned	2026-03-03								pearl_news	319	7	0	0	0	Ahjan108				
orphan_module	pearl_news/research_kb/retrieval.py		orphaned	2026-03-06								pearl_news	213	5	0	0	0	Ahjan108				
module	pearl_news/teacher_adapter/__init__.py		stub	2026-03-13								pearl_news	33	3	0	0	0	Ahjan108				
orphan_module	pearl_news/teacher_adapter/adapter.py		orphaned	2026-03-13								pearl_news	358	5	0	0	0	Ahjan108				
orphan_module	pearl_news/teacher_adapter/pairing.py		orphaned	2026-03-13								pearl_news	55	3	0	0	0	Ahjan108				
orphan_module	pearl_news/teacher_adapter/validation.py		orphaned	2026-03-13								pearl_news	105	3	0	0	0	Ahjan108				
module	pearl_news_post_to_wp.py		live	unknown								pearl_news_post_to_wp.py	139	7	0	1	0	unknown				
module	pearl_prime/__init__.py		stub	2026-02-27								pearl_prime	3	0	0	0	0	Ahjan108				
orphan_module	pearl_prime/modular_format_freeze.py		orphaned	2026-02-27								pearl_prime	107	5	0	0	1	Ahjan108				
module	pearl_prime/teacher_system/__init__.py		stub	2026-03-13								pearl_prime	41	1	0	0	0	Ahjan108				
orphan_module	pearl_prime/teacher_system/blueprint.py		orphaned	2026-03-13								pearl_prime	244	6	0	0	0	Ahjan108				
orphan_module	pearl_prime/tests/test_modular_format_freeze.py		orphaned	2026-02-27								pearl_prime	62	2	0	0	0	Ahjan108				
module	phoenix_recommender/__init__.py		stub	2026-03-24								phoenix_recommender	6	1	0	0	0	Nihala (Ma'at)				
module	phoenix_recommender/__main__.py		stub	2026-03-24								phoenix_recommender	8	2	0	1	0	Nihala (Ma'at)				
orphan_module	phoenix_recommender/candidate_generator.py		orphaned	2026-03-24								phoenix_recommender	91	5	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_recommender/cli.py		orphaned	2026-03-24								phoenix_recommender	104	8	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_recommender/recommendation_report.py		orphaned	2026-03-24								phoenix_recommender	50	5	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_recommender/scoring_model.py		orphaned	2026-03-24								phoenix_recommender	53	4	0	0	0	Nihala (Ma'at)				
module	phoenix_title_engine.py		live	unknown								phoenix_title_engine.py	1235	10	1	1	0	unknown				
module	phoenix_title_engine_v3.py		live	unknown								phoenix_title_engine_v3.py	1292	11	0	1	0	unknown				
module	phoenix_title_engine_v4.py		live	unknown								phoenix_title_engine_v4.py	1961	12	1	1	0	unknown				
module	phoenix_v4/__init__.py		stub	2026-02-24								phoenix_v4	2	0	0	0	0	Ahjan108				
module	phoenix_v4/content_banks/__init__.py		stub	2026-04-15								phoenix_v4	21	6	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/content_banks/loader.py		orphaned	2026-04-15								phoenix_v4	202	7	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/content_banks/quarantine.py		orphaned	2026-04-15								phoenix_v4	141	5	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/content_banks/selector.py		orphaned	2026-04-15								phoenix_v4	377	11	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/content_banks/session.py		orphaned	2026-04-15								phoenix_v4	65	6	0	0	0	Nihala (Ma'at)				
module	phoenix_v4/content_banks/variant_log.py		stub	2026-04-15								phoenix_v4	29	5	1	0	0	Nihala (Ma'at)				
module	phoenix_v4/exercises/__init__.py		stub	2026-02-24								phoenix_v4	2	0	0	0	0	Ahjan108				
orphan_module	phoenix_v4/exercises/component_assembler.py		orphaned	2026-03-31								phoenix_v4	504	7	0	0	0	Ahjan108				
orphan_module	phoenix_v4/exercises/models.py		orphaned	2026-03-31								phoenix_v4	74	4	0	0	0	Ahjan108				
orphan_module	phoenix_v4/exercises/overlay_substitution.py		orphaned	2026-02-24								phoenix_v4	58	3	0	0	0	Ahjan108				
orphan_module	phoenix_v4/exercises/practice_library_loader.py		orphaned	2026-04-07								phoenix_v4	335	8	0	0	0	Ahjan108				
module	phoenix_v4/freebies/__init__.py		stub	2026-02-24								phoenix_v4	7	1	0	0	0	Ahjan108				
module	phoenix_v4/freebies/freebie_renderer.py		live	2026-02-24								phoenix_v4	414	9	0	1	0	Ahjan108				
module	phoenix_v4/gates/__init__.py		stub	2026-02-25								phoenix_v4	18	2	0	0	0	Ahjan108				
module	phoenix_v4/gates/check_creative_quality_v1.py		live	2026-02-25								phoenix_v4	680	11	0	1	0	Ahjan108				
module	phoenix_v4/gates/check_tuple_viability.py		live	2026-02-25								phoenix_v4	262	9	2	1	0	Ahjan108				
module	phoenix_v4/llm/__init__.py		stub	2026-04-18								phoenix_v4	6	1	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/llm/router.py		orphaned	2026-04-18								phoenix_v4	167	9	0	0	0	Nihala (Ma'at)				
module	phoenix_v4/manga/__init__.py		stub	2026-03-22								phoenix_v4	19	3	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/asset_resolver.py		orphaned	2026-03-22								phoenix_v4	97	3	0	0	0	Ahjan108				
module	phoenix_v4/manga/chapter/__init__.py		stub	2026-03-23								phoenix_v4	24	6	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/bubble_render.py		orphaned	2026-04-17								phoenix_v4	799	10	0	0	1	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/chapter/chapter_production.py		orphaned	2026-03-23								phoenix_v4	137	9	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/cjk_text_shaper.py		orphaned	2026-04-25								phoenix_v4	260	7	0	0	1	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/chapter/lettering_from_script.py		orphaned	2026-03-23								phoenix_v4	223	3	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/locale_resolver.py		orphaned	2026-04-25								phoenix_v4	170	3	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/page_compose.py		orphaned	2026-03-23								phoenix_v4	84	4	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/visual_from_script.py		orphaned	2026-03-23								phoenix_v4	124	4	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/visual_from_script_v3.py		orphaned	2026-04-25								phoenix_v4	253	2	0	0	1	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/webtoon_compose.py		orphaned	2026-04-25								phoenix_v4	340	5	0	0	1	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/chapter/writer.py		orphaned	2026-03-23								phoenix_v4	127	7	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/chapter/writer_stub.py		orphaned	2026-03-23								phoenix_v4	166	4	0	0	0	Ahjan108				
module	phoenix_v4/manga/config.py		helper	2026-03-22								phoenix_v4	52	5	14	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/covers/__init__.py		orphaned	2026-04-18								phoenix_v4	182	7	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/covers/cover_assembler.py		orphaned	2026-04-18								phoenix_v4	655	21	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/covers/cover_generator.py		orphaned	2026-04-18								phoenix_v4	894	31	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/covers/cover_selector.py		orphaned	2026-04-18								phoenix_v4	717	13	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/covers/market_adapters.py		orphaned	2026-04-18								phoenix_v4	723	5	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/image_backend.py		orphaned	2026-03-23								phoenix_v4	550	20	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/ite_pipeline.py		orphaned	2026-03-30								phoenix_v4	755	15	0	0	0	Ahjan108				
module	phoenix_v4/manga/llm/__init__.py		stub	2026-03-23								phoenix_v4	6	1	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/llm/client.py		orphaned	2026-03-23								phoenix_v4	59	4	0	0	0	Ahjan108				
module	phoenix_v4/manga/memory/__init__.py		stub	2026-03-23								phoenix_v4	16	1	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/memory/series_memory_merge.py		orphaned	2026-03-23								phoenix_v4	54	6	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/models/__init__.py		orphaned	2026-03-23								phoenix_v4	100	4	0	0	0	Ahjan108				
module	phoenix_v4/manga/models/leakage.py		stub	2026-03-23								phoenix_v4	35	2	0	0	0	Ahjan108				
module	phoenix_v4/manga/models/paths.py		stub	2026-03-23								phoenix_v4	31	1	9	0	0	Ahjan108				
module	phoenix_v4/manga/models/stage_ids.py		stub	2026-03-23								phoenix_v4	44	1	6	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/models/validation.py		orphaned	2026-03-23								phoenix_v4	75	5	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/models/workspace_layout.py		orphaned	2026-03-23								phoenix_v4	61	6	0	0	0	Nihala (Ma'at)				
module	phoenix_v4/manga/panel_prompt_manifest.py		stub	2026-03-22								phoenix_v4	49	5	0	0	0	Ahjan108				
module	phoenix_v4/manga/qc/__init__.py		stub	2026-03-23								phoenix_v4	11	2	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/qc/chapter_qc.py		orphaned	2026-03-23								phoenix_v4	253	12	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/qc/gate_registry.py		orphaned	2026-03-23								phoenix_v4	55	7	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/qc/hook_gate.py		orphaned	2026-04-19								phoenix_v4	77	3	0	0	1	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/qc/ite_scorer.py		orphaned	2026-03-31								phoenix_v4	206	6	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/qc/pacing_gates.py		orphaned	2026-04-19								phoenix_v4	101	3	0	0	1	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/qc/restraint_gate.py		orphaned	2026-04-19								phoenix_v4	103	4	0	0	1	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/qc/yearning_gate.py		orphaned	2026-04-20								phoenix_v4	118	4	0	0	1	Nihala (Ma'at)				
module	phoenix_v4/manga/runner/__init__.py		stub	2026-03-23								phoenix_v4	9	1	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/runner/chapter_runner.py		orphaned	2026-03-23								phoenix_v4	587	23	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/runner/dag_order.py		orphaned	2026-03-23								phoenix_v4	63	2	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/runner/revision_policy.py		orphaned	2026-03-23								phoenix_v4	60	8	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/runner/stage_manifest_io.py		orphaned	2026-03-23								phoenix_v4	58	6	0	0	0	Ahjan108				
module	phoenix_v4/manga/sdf/__init__.py		stub	2026-03-23								phoenix_v4	12	1	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/sdf/stub.py		orphaned	2026-03-23								phoenix_v4	68	3	0	0	0	Nihala (Ma'at)				
module	phoenix_v4/manga/selection/__init__.py		stub	2026-04-19								phoenix_v4	1	0	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/selection/profile_aware_selector.py		orphaned	2026-04-19								phoenix_v4	105	4	0	0	1	Nihala (Ma'at)				
module	phoenix_v4/manga/series/__init__.py		stub	2026-03-23								phoenix_v4	30	5	0	0	0	Ahjan108				
module	phoenix_v4/manga/series/emit.py		helper	2026-03-23								phoenix_v4	178	12	4	0	0	Ahjan108				
module	phoenix_v4/manga/series/genre.py		stub	2026-03-23								phoenix_v4	21	2	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/series/manga_author_resolver.py		orphaned	2026-03-31								phoenix_v4	143	6	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/series/profile_loader.py		orphaned	2026-04-19								phoenix_v4	238	7	0	0	1	Nihala (Ma'at)				
module	phoenix_v4/manga/series/series_asset_registry.py		stub	2026-03-23								phoenix_v4	21	2	0	0	0	Ahjan108				
module	phoenix_v4/manga/series/story_architect.py		helper	2026-03-23								phoenix_v4	155	3	2	0	0	Ahjan108				
module	phoenix_v4/manga/series/visual_identity.py		stub	2026-03-23								phoenix_v4	34	2	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/speech_atom_selector.py		orphaned	2026-04-17								phoenix_v4	422	5	0	0	0	Nihala (Ma'at)				
orphan_module	phoenix_v4/manga/story_strategy_loader.py		orphaned	2026-04-17								phoenix_v4	220	6	0	0	0	Nihala (Ma'at)				
module	phoenix_v4/manga/translation/__init__.py		stub	2026-04-25								phoenix_v4	15	0	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/translation/iyashikei_glossary.py		orphaned	2026-04-25								phoenix_v4	140	2	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/translation/translators.py		orphaned	2026-04-25								phoenix_v4	273	10	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/transmission.py		orphaned	2026-03-23								phoenix_v4	61	3	0	0	0	Ahjan108				
orphan_module	phoenix_v4/manga/visual_prompt_compiler.py		orphaned	2026-03-22								phoenix_v4	161	4	0	0	0	Ahjan108				
module	phoenix_v4/naming/__init__.py		stub	2026-02-24								phoenix_v4	3	0	0	0	0	Ahjan108				
orphan_module	phoenix_v4/naming/_config.py		orphaned	2026-02-24								phoenix_v4	55	4	0	0	0	Ahjan108				
module	phoenix_v4/naming/cli.py		live	2026-02-24								phoenix_v4	211	8	0	1	0	Ahjan108				
module	phoenix_v4/naming/dedupe.py		helper	2026-02-24								phoenix_v4	102	4	4	0	0	Ahjan108				
orphan_module	phoenix_v4/naming/generator.py		orphaned	2026-02-24								phoenix_v4	475	9	0	0	0	Ahjan108				
module	phoenix_v4/naming/keyword_bank.py		helper	2026-02-24								phoenix_v4	128	4	1	0	0	Ahjan108				
orphan_module	phoenix_v4/naming/scorer.py		orphaned	2026-02-24								phoenix_v4	225	6	0	0	0	Ahjan108				
orphan_module	phoenix_v4/naming/validator.py		orphaned	2026-02-24								phoenix_v4	87	4	0	0	0	Ahjan108				
module	phoenix_v4/ops/__init__.py		stub	2026-02-25								phoenix_v4	3	0	0	0	0	Ahjan108				
module	phoenix_v4/ops/brand_identity_stability.py		live	2026-02-25								phoenix_v4	184	10	0	1	1	Ahjan108				
module	phoenix_v4/ops/catalog_emotional_distribution.py		live	2026-02-25								phoenix_v4	583	11	0	1	1	Ahjan108				
module	phoenix_v4/ops/catalog_health_dashboard_builder.py		live	2026-02-25								phoenix_v4	267	7	0	1	0	Ahjan108				
module	phoenix_v4/ops/check_memorable_line_registry.py		live	2026-02-25								phoenix_v4	159	8	0	1	0	Ahjan108				
module	phoenix_v4/ops/check_release_wave.py		live	2026-02-25								phoenix_v4	824	11	1	1	0	Ahjan108				
orphan_module	phoenix_v4/ops/church_loader.py		orphaned	2026-03-03								phoenix_v4	65	4	0	0	0	Ahjan108				
module	phoenix_v4/ops/cross_brand_divergence.py		live	2026-02-25								phoenix_v4	387	11	0	1	1	Ahjan108				
module	phoenix_v4/ops/duration_adherence_scorecard.py		live	2026-03-31								phoenix_v4	601	10	0	1	1	Ahjan108				
module	phoenix_v4/ops/generate_coverage_health_report.py		live	2026-02-25								phoenix_v4	1203	21	0	1	0	Ahjan108				
orphan_module	phoenix_v4/ops/memorable_line_registry.py		orphaned	2026-02-25								phoenix_v4	164	8	0	0	0	Ahjan108				
module	phoenix_v4/ops/platform_health_scorecard.py		live	2026-02-25								phoenix_v4	331	8	0	1	1	Ahjan108				
module	phoenix_v4/ops/quality_bundle_postprocessor.py		live	2026-02-25								phoenix_v4	149	8	0	1	0	Ahjan108				
orphan_module	phoenix_v4/ops/quality_objective.py		orphaned	2026-02-25								phoenix_v4	113	2	0	0	0	Ahjan108				
module	phoenix_v4/ops/update_memorable_line_registry.py		live	2026-02-25								phoenix_v4	81	7	0	1	0	Ahjan108				
module	phoenix_v4/ops/wave_candidates_enricher.py		live	2026-02-25								phoenix_v4	239	8	0	1	0	Ahjan108				
module	phoenix_v4/ops/wave_optimizer_constraint_solver.py		live	2026-02-25								phoenix_v4	501	11	0	1	1	Ahjan108				
module	phoenix_v4/planning/__init__.py		stub	2026-02-24								phoenix_v4	2	0	0	0	0	Ahjan108				
orphan_module	phoenix_v4/planning/angle_bias.py		orphaned	2026-02-24								phoenix_v4	70	2	0	0	0	Ahjan108				
orphan_module	phoenix_v4/planning/angle_resolver.py		orphaned	2026-02-24								phoenix_v4	77	4	0	0	0	Ahjan108				
orphan_module	phoenix_v4/planning/arc_loader.py		orphaned	2026-02-24								phoenix_v4	453	7	0	0	1	Ahjan108				
