brand_id	demographic	enabled	series_count	books_per_series	total_books	manga_series	manga_episodes	podcast_episodes	video_short	video_long	covers_needed	main_chars_needed	audiobook_via_google_play_brand_admin	phoenix_planned_surfaces_note	parallel_japan_manga_only_cells
optimizer_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
focus_sprint_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
heart_balance_shojo	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
trauma_path_healing	josei	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
resilient_parent_social	josei	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
confidence_core_romance	shojo	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
relationship_clarity_romance	josei	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
adhd_forge_mystery	shonen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
devotion_path_shonen	shonen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
stoic_edge_battle	seinen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
warrior_calm_cultivation	shonen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
spiritual_ground_supernatural	josei	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
solar_return_isekai	shonen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
legacy_builder_memoir	seinen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
bio_flow_healing	seinen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
longevity_lab_healing	seinen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
hormone_reset_healing	josei	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
qi_foundation_cultivation	seinen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
creative_unfold_social	shojo	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
calm_student_school	shojo	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
bright_presence_tw_seinen	seinen	yes	5	5	25	4	96	26	12	4	50	4	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
