persona,topic,engine,planned_book_count,brand_spread,canonical_txt_present,story_atoms_present,thesis_topic_overlay,predicted_bind_status,predicted_acceptance_ceiling
gen_z_professionals,sleep_anxiety,overwhelm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,anxiety,false_alarm,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,anxiety,grief,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,anxiety,shame,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,self_worth,shame,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,courage,spiral,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,anxiety,comparison,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,compassion_fatigue,grief,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,burnout,overwhelm,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,courage,shame,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,social_anxiety,shame,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,sleep_anxiety,spiral,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,anxiety,shame,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,imposter_syndrome,comparison,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,self_worth,comparison,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,overthinking,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,imposter_syndrome,grief,62,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,somatic_healing,watcher,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,self_worth,comparison,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,anxiety,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,compassion_fatigue,grief,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,anxiety,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,social_anxiety,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,compassion_fatigue,shame,62,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,boundaries,false_alarm,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,imposter_syndrome,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,financial_anxiety,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,sleep_anxiety,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,overthinking,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,compassion_fatigue,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,depression,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,financial_anxiety,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,overthinking,false_alarm,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,boundaries,false_alarm,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,burnout,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,financial_stress,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,imposter_syndrome,comparison,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,anxiety,shame,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,courage,false_alarm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,self_worth,comparison,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,burnout,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,depression,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,overthinking,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,anxiety,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,courage,spiral,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,somatic_healing,watcher,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,overthinking,overwhelm,62,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,financial_stress,spiral,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,imposter_syndrome,false_alarm,62,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,overthinking,watcher,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,courage,false_alarm,61,40,True,True,False,BOUND,authored-candidate-possible (Layer 2+ reachable; NOT guaranteed — see healthcare_rns x burnout 43006 precedent)
millennial_women_professionals,somatic_healing,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,financial_anxiety,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,sleep_anxiety,spiral,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,burnout,overwhelm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,boundaries,shame,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,financial_anxiety,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,overthinking,false_alarm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,burnout,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,depression,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,anxiety,shame,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,burnout,spiral,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,somatic_healing,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,burnout,spiral,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,burnout,shame,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,compassion_fatigue,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,compassion_fatigue,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,burnout,watcher,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,boundaries,false_alarm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,sleep_anxiety,false_alarm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,grief,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,social_anxiety,shame,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,grief,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,depression,grief,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,grief,watcher,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,self_worth,shame,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,courage,shame,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,imposter_syndrome,spiral,61,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,compassion_fatigue,shame,61,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,sleep_anxiety,spiral,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,anxiety,comparison,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,anxiety,comparison,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,sleep_anxiety,watcher,61,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,burnout,overwhelm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,boundaries,false_alarm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,overthinking,overwhelm,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,imposter_syndrome,false_alarm,61,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,anxiety,shame,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,compassion_fatigue,shame,61,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,burnout,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,courage,shame,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,courage,spiral,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,financial_stress,overwhelm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,anxiety,grief,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,social_anxiety,shame,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,imposter_syndrome,shame,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,boundaries,shame,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,imposter_syndrome,grief,60,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,depression,grief,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,courage,false_alarm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,social_anxiety,comparison,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,burnout,overwhelm,60,40,True,True,True,BOUND,authored-candidate-possible (Layer 2+ reachable; NOT guaranteed — see healthcare_rns x burnout 43006 precedent)
corporate_managers,financial_stress,spiral,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,depression,grief,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,burnout,watcher,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,boundaries,false_alarm,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,grief,grief,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,sleep_anxiety,false_alarm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,financial_anxiety,spiral,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,overthinking,watcher,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,compassion_fatigue,watcher,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,grief,watcher,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,imposter_syndrome,comparison,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,social_anxiety,comparison,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,burnout,false_alarm,60,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,sleep_anxiety,shame,60,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,depression,watcher,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,self_worth,shame,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,overthinking,false_alarm,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,overthinking,comparison,60,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,social_anxiety,comparison,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,burnout,watcher,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,compassion_fatigue,overwhelm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,social_anxiety,false_alarm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,anxiety,grief,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,boundaries,shame,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,financial_stress,overwhelm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,burnout,spiral,60,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,courage,spiral,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,imposter_syndrome,watcher,60,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,somatic_healing,watcher,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,depression,grief,60,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,anxiety,false_alarm,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,imposter_syndrome,watcher,60,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,boundaries,shame,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,anxiety,spiral,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,grief,grief,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,social_anxiety,false_alarm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,financial_stress,overwhelm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,compassion_fatigue,grief,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
healthcare_rns,burnout,comparison,60,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,courage,false_alarm,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,courage,spiral,60,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,anxiety,shame,60,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,burnout,comparison,59,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,sleep_anxiety,false_alarm,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,boundaries,overwhelm,59,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,anxiety,overwhelm,59,40,True,True,True,BOUND,authored-candidate-possible (Layer 2+ reachable; NOT guaranteed — see healthcare_rns x burnout 43006 precedent)
gen_x_sandwich,somatic_healing,overwhelm,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,anxiety,overwhelm,59,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,financial_anxiety,spiral,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,sleep_anxiety,spiral,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,sleep_anxiety,overwhelm,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,imposter_syndrome,overwhelm,59,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,anxiety,spiral,59,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,overthinking,comparison,59,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,sleep_anxiety,comparison,59,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,self_worth,shame,59,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,financial_anxiety,shame,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,anxiety,overwhelm,59,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,overthinking,overwhelm,59,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,imposter_syndrome,overwhelm,59,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,social_anxiety,comparison,59,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,overthinking,spiral,59,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
