chapter	required_surface	present	status
5	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
5	BRIDGE_BACK_TO_READER	yes	PASS
5	PERSONA_TOPIC_REFLECTION	yes	PASS
5	TROUBLESHOOTING_PERMISSION	yes	PASS
5	STORY_PROGRESS_2	yes	PASS
5	AUTHOR_TOOL_INTRO	yes	PASS
5	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
5	INTEGRATION_REFLECTION	yes	PASS
5	PIVOT_BINDING	yes	PASS
5	CLOSING_TAKEAWAY_BINDING	yes	PASS
5	STORY_PROGRESS_3	yes	PASS
5	CALLBACK_RETURN	yes	PASS
5	PROPULSION	yes	PASS
6	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
6	SCENE	yes	PASS
6	VALIDATION_NORMALIZATION	yes	PASS
6	ANGLE_CALLBACK	yes	PASS
6	CALLBACK_PLANT_OR_ECHO	yes	PASS
6	ANALOGY	yes	PASS
6	AUTHOR_COMMENTARY	yes	PASS
6	READER_PROMISE	yes	PASS
6	STORY_PROGRESS_1	yes	PASS
6	TRANSITION_GLUE	yes	PASS
6	MECHANISM_EXPLANATION	yes	PASS
6	COMPOSITE_TEACHING_BINDING	yes	PASS
6	CITED_EVIDENCE_BINDING	yes	PASS
6	BRIDGE_TO_EXTERNAL	yes	PASS
6	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
6	BRIDGE_BACK_TO_READER	yes	PASS
6	PERSONA_TOPIC_REFLECTION	yes	PASS
6	TROUBLESHOOTING_PERMISSION	yes	PASS
6	STORY_PROGRESS_2	yes	PASS
6	AUTHOR_TOOL_INTRO	yes	PASS
6	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
6	INTEGRATION_REFLECTION	yes	PASS
6	PIVOT_BINDING	yes	PASS
6	CLOSING_TAKEAWAY_BINDING	yes	PASS
6	STORY_PROGRESS_3	yes	PASS
6	CALLBACK_RETURN	yes	PASS
6	PROPULSION	yes	PASS
7	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
7	SCENE	yes	PASS
7	VALIDATION_NORMALIZATION	yes	PASS
7	ANGLE_CALLBACK	yes	PASS
7	CALLBACK_PLANT_OR_ECHO	yes	PASS
7	ANALOGY	yes	PASS
7	AUTHOR_COMMENTARY	yes	PASS
7	READER_PROMISE	yes	PASS
7	STORY_PROGRESS_1	yes	PASS
7	TRANSITION_GLUE	yes	PASS
7	MECHANISM_EXPLANATION	yes	PASS
7	COMPOSITE_TEACHING_BINDING	yes	PASS
7	CITED_EVIDENCE_BINDING	yes	PASS
7	BRIDGE_TO_EXTERNAL	yes	PASS
7	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
7	BRIDGE_BACK_TO_READER	yes	PASS
7	PERSONA_TOPIC_REFLECTION	yes	PASS
7	TROUBLESHOOTING_PERMISSION	yes	PASS
7	STORY_PROGRESS_2	yes	PASS
7	AUTHOR_TOOL_INTRO	yes	PASS
7	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
7	INTEGRATION_REFLECTION	yes	PASS
7	PIVOT_BINDING	yes	PASS
7	CLOSING_TAKEAWAY_BINDING	yes	PASS
7	STORY_PROGRESS_3	yes	PASS
7	CALLBACK_RETURN	yes	PASS
7	PROPULSION	yes	PASS
8	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
8	SCENE	yes	PASS
8	VALIDATION_NORMALIZATION	yes	PASS
8	ANGLE_CALLBACK	yes	PASS
8	CALLBACK_PLANT_OR_ECHO	yes	PASS
8	ANALOGY	yes	PASS
8	AUTHOR_COMMENTARY	yes	PASS
8	READER_PROMISE	yes	PASS
8	STORY_PROGRESS_1	yes	PASS
8	TRANSITION_GLUE	yes	PASS
8	MECHANISM_EXPLANATION	yes	PASS
8	COMPOSITE_TEACHING_BINDING	yes	PASS
8	CITED_EVIDENCE_BINDING	yes	PASS
8	BRIDGE_TO_EXTERNAL	yes	PASS
8	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
8	BRIDGE_BACK_TO_READER	yes	PASS
8	PERSONA_TOPIC_REFLECTION	yes	PASS
8	TROUBLESHOOTING_PERMISSION	yes	PASS
8	STORY_PROGRESS_2	yes	PASS
8	AUTHOR_TOOL_INTRO	yes	PASS
8	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
8	INTEGRATION_REFLECTION	yes	PASS
8	PIVOT_BINDING	yes	PASS
8	CLOSING_TAKEAWAY_BINDING	yes	PASS
8	STORY_PROGRESS_3	yes	PASS
8	CALLBACK_RETURN	yes	PASS
8	PROPULSION	yes	PASS
9	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
9	SCENE	yes	PASS
9	VALIDATION_NORMALIZATION	yes	PASS
9	ANGLE_CALLBACK	yes	PASS
9	CALLBACK_PLANT_OR_ECHO	yes	PASS
9	ANALOGY	yes	PASS
9	AUTHOR_COMMENTARY	yes	PASS
9	READER_PROMISE	yes	PASS
9	STORY_PROGRESS_1	yes	PASS
9	TRANSITION_GLUE	yes	PASS
9	MECHANISM_EXPLANATION	yes	PASS
9	COMPOSITE_TEACHING_BINDING	yes	PASS
9	CITED_EVIDENCE_BINDING	yes	PASS
9	BRIDGE_TO_EXTERNAL	yes	PASS
9	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
9	BRIDGE_BACK_TO_READER	yes	PASS
9	PERSONA_TOPIC_REFLECTION	yes	PASS
9	TROUBLESHOOTING_PERMISSION	yes	PASS
9	STORY_PROGRESS_2	yes	PASS
9	AUTHOR_TOOL_INTRO	yes	PASS
9	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
9	INTEGRATION_REFLECTION	yes	PASS
9	PIVOT_BINDING	yes	PASS
9	CLOSING_TAKEAWAY_BINDING	yes	PASS
9	STORY_PROGRESS_3	yes	PASS
9	CALLBACK_RETURN	yes	PASS
9	PROPULSION	yes	PASS
10	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
10	SCENE	yes	PASS
10	VALIDATION_NORMALIZATION	yes	PASS
10	ANGLE_CALLBACK	yes	PASS
10	CALLBACK_PLANT_OR_ECHO	yes	PASS
10	ANALOGY	yes	PASS
10	AUTHOR_COMMENTARY	yes	PASS
10	READER_PROMISE	yes	PASS
10	STORY_PROGRESS_1	yes	PASS
10	TRANSITION_GLUE	yes	PASS
10	MECHANISM_EXPLANATION	yes	PASS
10	COMPOSITE_TEACHING_BINDING	yes	PASS
10	CITED_EVIDENCE_BINDING	yes	PASS
10	BRIDGE_TO_EXTERNAL	yes	PASS
10	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
10	BRIDGE_BACK_TO_READER	yes	PASS
10	PERSONA_TOPIC_REFLECTION	yes	PASS
10	TROUBLESHOOTING_PERMISSION	yes	PASS
10	STORY_PROGRESS_2	yes	PASS
10	AUTHOR_TOOL_INTRO	yes	PASS
10	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
10	INTEGRATION_REFLECTION	yes	PASS
10	PIVOT_BINDING	yes	PASS
10	CLOSING_TAKEAWAY_BINDING	yes	PASS
10	STORY_PROGRESS_3	yes	PASS
10	CALLBACK_RETURN	yes	PASS
10	PROPULSION	yes	PASS
11	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
11	SCENE	yes	PASS
11	VALIDATION_NORMALIZATION	yes	PASS
11	ANGLE_CALLBACK	yes	PASS
11	CALLBACK_PLANT_OR_ECHO	yes	PASS
11	ANALOGY	yes	PASS
11	AUTHOR_COMMENTARY	yes	PASS
11	READER_PROMISE	yes	PASS
11	STORY_PROGRESS_1	yes	PASS
11	TRANSITION_GLUE	yes	PASS
11	MECHANISM_EXPLANATION	yes	PASS
11	COMPOSITE_TEACHING_BINDING	yes	PASS
11	CITED_EVIDENCE_BINDING	yes	PASS
11	BRIDGE_TO_EXTERNAL	yes	PASS
11	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
11	BRIDGE_BACK_TO_READER	yes	PASS
11	PERSONA_TOPIC_REFLECTION	yes	PASS
11	TROUBLESHOOTING_PERMISSION	yes	PASS
11	STORY_PROGRESS_2	yes	PASS
11	AUTHOR_TOOL_INTRO	yes	PASS
11	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
11	INTEGRATION_REFLECTION	yes	PASS
11	PIVOT_BINDING	yes	PASS
11	CLOSING_TAKEAWAY_BINDING	yes	PASS
11	STORY_PROGRESS_3	yes	PASS
11	CALLBACK_RETURN	yes	PASS
11	PROPULSION	yes	PASS
12	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
12	SCENE	yes	PASS
12	VALIDATION_NORMALIZATION	yes	PASS
12	ANGLE_CALLBACK	yes	PASS
12	CALLBACK_PLANT_OR_ECHO	yes	PASS
12	ANALOGY	yes	PASS
12	AUTHOR_COMMENTARY	yes	PASS
12	READER_PROMISE	yes	PASS
12	STORY_PROGRESS_1	yes	PASS
12	TRANSITION_GLUE	yes	PASS
12	MECHANISM_EXPLANATION	yes	PASS
12	COMPOSITE_TEACHING_BINDING	yes	PASS
12	CITED_EVIDENCE_BINDING	yes	PASS
12	BRIDGE_TO_EXTERNAL	yes	PASS
12	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
12	BRIDGE_BACK_TO_READER	yes	PASS
12	PERSONA_TOPIC_REFLECTION	yes	PASS
12	TROUBLESHOOTING_PERMISSION	yes	PASS
12	STORY_PROGRESS_2	yes	PASS
12	AUTHOR_TOOL_INTRO	yes	PASS
12	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
12	INTEGRATION_REFLECTION	yes	PASS
12	PIVOT_BINDING	yes	PASS
12	CLOSING_TAKEAWAY_BINDING	yes	PASS
12	STORY_PROGRESS_3	yes	PASS
12	CALLBACK_RETURN	yes	PASS
12	PROPULSION	yes	PASS
