severity	distinct_simplified_chars	total_simplified_occurrences	pr5682_ownership	simplified_chars_found	zh_tw_file
PARTIAL	6	6	UNOWNED	转让认个这仅	atoms/healthcare_rns/self_worth/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	头变话无论归	atoms/millennial_women_professionals/anchored/courage/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	头变无论时间	atoms/millennial_women_professionals/anchored/financial_stress/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	寻总话没无论	atoms/millennial_women_professionals/anxiety/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	6	10	UNOWNED	间脚头无论权	atoms/millennial_women_professionals/boundaries/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	头无论崭间开	atoms/millennial_women_professionals/burnout/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	6	8	UNOWNED	们现开过习惯	atoms/millennial_women_professionals/courage/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	间头变归话语	atoms/millennial_women_professionals/courage/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	间头属话无论	atoms/millennial_women_professionals/depression/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	6	9	UNOWNED	间头变无论权	atoms/millennial_women_professionals/depression/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	进钱报这难脱	atoms/millennial_women_professionals/financial_anxiety/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	6	8	UNOWNED	间脚当话无论	atoms/millennial_women_professionals/overthinking/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	头场无论崭脚	atoms/millennial_women_professionals/overthinking/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	关会拥学习时	atoms/millennial_women_professionals/self_worth/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	头无论话语崭	atoms/millennial_women_professionals/self_worth/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	间没无论处权	atoms/millennial_women_professionals/social_anxiety/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	经统双脚们	atoms/educators/burnout/EXERCISE/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	经统终无这	atoms/educators/sleep_anxiety/TAKEAWAY/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	场变学过温	atoms/gen_z_professionals/anxiety/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	个时则满驳	atoms/gen_z_professionals/boundaries/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	实阳头们规	atoms/gen_z_professionals/boundaries/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	阳从统进烧	atoms/gen_z_professionals/boundaries/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	会阳个线义	atoms/gen_z_professionals/boundaries/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	个们尽这疗	atoms/gen_z_professionals/compassion_fatigue/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	5	28	UNOWNED	职场对坚岗	atoms/gen_z_professionals/courage/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	会觉现状态	atoms/gen_z_professionals/depression/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	5	9	UNOWNED	这们为变场	atoms/gen_z_professionals/financial_anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	5	14	UNOWNED	职预这样对	atoms/gen_z_professionals/grief/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	这当记忆觉	atoms/gen_z_professionals/grief/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	这个认资尔	atoms/healthcare_rns/anxiety/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	刚开无论医	atoms/healthcare_rns/boundaries/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	们还点时间	atoms/healthcare_rns/boundaries/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	阳状态场来	atoms/healthcare_rns/boundaries/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	场为动们软	atoms/healthcare_rns/courage/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	无头变论偿	atoms/millennial_women_professionals/anchored/courage/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	脚无论寻员	atoms/millennial_women_professionals/anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	头无论这脚	atoms/millennial_women_professionals/boundaries/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	对头无论号	atoms/millennial_women_professionals/compassion_fatigue/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	间头没无论	atoms/millennial_women_professionals/compassion_fatigue/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	过号内状态	atoms/millennial_women_professionals/courage/EXERCISE/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	晓间变号脚	atoms/millennial_women_professionals/courage/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	8	UNOWNED	间头变状态	atoms/millennial_women_professionals/financial_anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	权头无论间	atoms/millennial_women_professionals/financial_anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	5	9	UNOWNED	间个无论没	atoms/millennial_women_professionals/financial_stress/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	没无论归号	atoms/millennial_women_professionals/grief/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	9	UNOWNED	间权无论学	atoms/millennial_women_professionals/grief/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	崭变无论归	atoms/millennial_women_professionals/imposter_syndrome/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	间变无论没	atoms/millennial_women_professionals/self_worth/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	间头无论脚	atoms/millennial_women_professionals/sleep_anxiety/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	号间这个脚	atoms/millennial_women_professionals/somatic_healing/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	为写运实现	atoms/working_parents/anchored/grief/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	6	UNOWNED	历写运实现	atoms/working_parents/anchored/sleep_anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	5	7	UNOWNED	场个时为写	atoms/working_parents/burnout/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	5	5	UNOWNED	为内观参预	atoms/working_parents/self_worth/HOOK/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	点压东双	atoms/gen_z_professionals/anxiety/EXERCISE/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	个证点关	atoms/gen_z_professionals/anxiety/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	8	UNOWNED	语无这个	atoms/gen_z_professionals/anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	时间内贴	atoms/gen_z_professionals/anxiety/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	无这认会	atoms/gen_z_professionals/anxiety/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	们头个点	atoms/gen_z_professionals/boundaries/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	14	UNOWNED	职场认务	atoms/gen_z_professionals/boundaries/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	6	OWNED_BY_5682_DO_NOT_TOUCH	记录双变	atoms/gen_z_professionals/burnout/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	6	UNOWNED	个风险间	atoms/gen_z_professionals/courage/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	两还转双	atoms/gen_z_professionals/depression/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	24	UNOWNED	为远吗让	atoms/gen_z_professionals/financial_anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	13	UNOWNED	职该拥对	atoms/gen_z_professionals/financial_stress/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	5	UNOWNED	经项认给	atoms/gen_z_professionals/imposter_syndrome/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	6	UNOWNED	点报调东	atoms/gen_z_professionals/imposter_syndrome/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	4	6	UNOWNED	个内从应	atoms/gen_z_professionals/overthinking/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	4	6	UNOWNED	场尽变条	atoms/gen_z_professionals/self_worth/EXERCISE/locales/zh-TW/CANONICAL.txt
PARTIAL	4	6	UNOWNED	个双谈样	atoms/gen_z_professionals/self_worth/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	21	UNOWNED	职实发挥	atoms/gen_z_professionals/self_worth/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	5	UNOWNED	对还发较	atoms/gen_z_professionals/self_worth/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	这项个觉	atoms/gen_z_professionals/self_worth/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	该个当点	atoms/gen_z_professionals/self_worth/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	状态双说	atoms/gen_z_professionals/sleep_anxiety/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	来现条尔	atoms/healthcare_rns/anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	统东带来	atoms/healthcare_rns/boundaries/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	这条实键	atoms/healthcare_rns/courage/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	4	9	UNOWNED	迹当这变	atoms/healthcare_rns/depression/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	职会这个	atoms/healthcare_rns/financial_stress/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	话责声义	atoms/healthcare_rns/imposter_syndrome/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	为这装处	atoms/healthcare_rns/self_worth/STORY/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	号脚这个	atoms/healthcare_rns/sleep_anxiety/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	4	5	UNOWNED	间号崭脚	atoms/healthcare_rns/somatic_healing/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	选择发现	atoms/midlife_women/financial_stress/HOOK/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	现拥为会	atoms/midlife_women/grief/TAKEAWAY/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	为这载张	atoms/millennial_women_professionals/anchored/STORY/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头变无论	atoms/millennial_women_professionals/anchored/anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头变无论	atoms/millennial_women_professionals/anchored/burnout/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头变无论	atoms/millennial_women_professionals/anchored/compassion_fatigue/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头总无论	atoms/millennial_women_professionals/anchored/financial_anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头没无论	atoms/millennial_women_professionals/anchored/grief/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头进无论	atoms/millennial_women_professionals/anchored/imposter_syndrome/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头话无论	atoms/millennial_women_professionals/anchored/self_worth/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	5	UNOWNED	当时无论	atoms/millennial_women_professionals/anchored/social_anxiety/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头进无论	atoms/millennial_women_professionals/anchored/somatic_healing/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	个东发这	atoms/millennial_women_professionals/anxiety/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	为这载张	atoms/millennial_women_professionals/boundaries/STORY/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	无论寻没	atoms/millennial_women_professionals/boundaries/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	4	5	UNOWNED	间属变组	atoms/millennial_women_professionals/boundaries/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	4	5	UNOWNED	时则样声	atoms/millennial_women_professionals/burnout/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头总间权	atoms/millennial_women_professionals/burnout/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	头无论标	atoms/millennial_women_professionals/compassion_fatigue/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	4	4	UNOWNED	个认话语	atoms/millennial_women_professionals/courage/HOOK/locales/zh-TW/CANONICAL.txt
